r_code,region,comm_code,community
3,Greater Accra Region,31064,Ayigbe Town
6,Ashanti Region,31065,Ayinankaso
7,Brong Ahafo Region,31067,Banda Agbolokame
7,Brong Ahafo Region,31068,Banda-Agbolokame
6,Ashanti Region,31069,Bebu
5,Eastern Region,31070,Begoro-Kroadaso
6,Ashanti Region,31071,Bekwai Kwabetoso
7,Brong Ahafo Region,31072,Berekum Senase
5,Eastern Region,31073,Betoom
3,Greater Accra Region,31074,Block Factory
6,Ashanti Region,31075,Bola Kesiem
1,Western Region,31076,Bonsu
1,Western Region,31077,Borborbor
4,Volta Region,31078,Border
3,Greater Accra Region,31079,Bortianor
6,Ashanti Region,31080,Bouho
2,Central Region,31081,Budumburam
3,Greater Accra Region,31082,Caprice
3,Greater Accra Region,31083,Chantan 6-6
1,Western Region,31084,Chapel Hills
6,Ashanti Region,31085,Chrapatre Estate
3,Greater Accra Region,31086,Christian Village
1,Western Region,31087,Container Rubber Site
6,Ashanti Region,31088,Dagomba
4,Volta Region,31089,Dapaa Junction
5,Eastern Region,31090,Dasebre Estate
3,Greater Accra Region,31091,Dawhenya
3,Greater Accra Region,31093,Dome-Nwiniso
6,Ashanti Region,31094,Daaban New Site
4,Volta Region,31095,Dzesime
6,Ashanti Region,31096,Ebuoho Sasa
6,Ashanti Region,31097,Effijuase
6,Ashanti Region,31098,Ejura Miminaso
6,Ashanti Region,31099,Elimina Bantama
3,Greater Accra Region,31100,"Exhibition, Petrolium Do"
3,Greater Accra Region,31101,Fese
6,Ashanti Region,31102,Feyiase
3,Greater Accra Region,31103,Frafraha Animal Research
6,Ashanti Region,31104,Fumesua
3,Greater Accra Region,31105,"Gosple Light,Scc Kasoa"
5,Eastern Region,31106,Havorkope
6,Ashanti Region,31107,Hia
1,Western Region,31108,Hinneh-Nkwanta
1,Western Region,31109,Hintaado
6,Ashanti Region,31110,Hombenase
6,Ashanti Region,31111,Huu(Hia Yeya)
6,Ashanti Region,31112,Ipt
6,Ashanti Region,31113,Jachie
3,Greater Accra Region,31114,James Town
3,Greater Accra Region,31115,Karikari
3,Greater Accra Region,31117,Katamanso
6,Ashanti Region,31118,Kayera
6,Ashanti Region,31119,Kente
6,Ashanti Region,31120,Kentinkronong
7,Brong Ahafo Region,31121,Kintampo
5,Eastern Region,31122,Klu Akwapem
5,Eastern Region,31123,Koforidua
6,Ashanti Region,31124,Kokonten
3,Greater Accra Region,31125,Korle Wonko
4,Volta Region,31126,Korve
6,Ashanti Region,31127,Kotei Deduako
8,Northern Region,31128,Kpigi
6,Ashanti Region,31129,Kromuase
6,Ashanti Region,31130,Kumasi-Arhinsan
6,Ashanti Region,31131,Kumawu Woraso
6,Ashanti Region,31132,Kuwait Last Stop
2,Central Region,31133,Kwasi Ansah
7,Brong Ahafo Region,31134,Kyeremasu
4,Volta Region,31135,Laklevikorpeh
5,Eastern Region,31136,Larteh Kubease
3,Greater Accra Region,31137,Lashibi
2,Central Region,31138,Mafi Wawasi
5,Eastern Region,31139,Mamfe-Akuapem
6,Ashanti Region,31140,Mampong
3,Greater Accra Region,31141,Manhean
6,Ashanti Region,31142,Manhyia
1,Western Region,31143,Manso Jani Krom(Jordan)
6,Brong Ahafo Region,31144,Manukrom
3,Greater Accra Region,31145,Manya Jorpanya
6,Brong Ahafo Region,31146,Mim Dome
6,Ashanti Region,31147,Moawano
6,Ashanti Region,31148,Mpehi
4,Volta Region,31149,Nakoba
5,Eastern Region,31150,Nankese
6,Ashanti Region,31151,New Tafo-Krofrom
3,Greater Accra Region,31152,New York
5,Eastern Region,31153,Nkawkaw - Nsuta
5,Eastern Region,31154,Nkawkaw Amanfrom
5,Eastern Region,31155,Nkonkow
6,Ashanti Region,31156,Nkwantakese
3,Greater Accra Region,31157,Nsakina
6,Ashanti Region,31158,Ntobroso-Achiase
6,Ashanti Region,31159,Ntonso
5,Eastern Region,31160,Nuaso
6,Ashanti Region,31161,Nwieniso No 1
6,Ashanti Region,31162,Nyinanyiniso
3,Greater Accra Region,31163,Odorkor
6,Ashanti Region,31165,"Odumase, Amangro"
5,Eastern Region,31166,Odumase-Nuaso
6,Ashanti Region,31167,Offinso Ampame
6,Ashanti Region,31168,Offinso Dome
6,Ashanti Region,31169,Offinso Obuasi
6,Ashanti Region,31170,Offinso Otc
6,Ashanti Region,31171,Ohwim
5,Eastern Region,31172,Okanta
5,Eastern Region,31173,Okroase
6,Ashanti Region,31174,Oku  Junction
7,Ashanti Region,31175,Old Edubiase
4,Volta Region,31176,Olobobi
6,Ashanti Region,31177,Onwe
6,Ashanti Region,31179,Oti-Kuweit
3,Greater Accra Region,31180,Oyarifa
3,Greater Accra Region,31181,Pantan
6,Ashanti Region,31182,Patasi
6,Ashanti Region,31183,Philips Commercia
6,Ashanti Region,31184,"S-Line New Site,Atonsu"
2,Central Region,31185,Saltpond
4,Volta Region,31186,Sampoa
3,Greater Accra Region,31187,Santa Maria
6,Ashanti Region,31188,Sasa
6,Ashanti Region,31189,Saudi Arabia
1,Western Region,31190,Sentum
6,Ashanti Region,31191,Sepedoti
6,Ashanti Region,31192,Sewaba-Kumasi
6,Ashanti Region,31193,Sofoline
7,Brong Ahafo Region,31194,Soliboi
3,Greater Accra Region,31195,South Mcarthy
3,Greater Accra Region,31196,Spintex
6,Ashanti Region,31197,Suame-Maakro
7,Brong Ahafo Region,31198,Sunyani-Fiapre
7,Brong Ahafo Region,31199,Tadieso
6,Ashanti Region,31200,Tafo
8,Northern Region,31201,Tamale
3,Greater Accra Region,31202,Tantra Hill
5,Eastern Region,31203,Tease
3,Greater Accra Region,31204,Tema Community Eighteen
